"name","types","number","percent"
"dplyr","LANG→VEC",6899,0.592002855755188
"dplyr","SYM→LGL",6218,0.533566278748479
"dplyr","NIL→NA",6089,0.52249679499831
"dplyr","SYM→SYM",5373,0.461056869687291
"dplyr","BCODE→NIL",4716,0.404679731517824
"dplyr","LANG→REAL",4247,0.364434864240076
"dplyr","INT→NA",4090,0.350962701846459
"dplyr","PROM→NA",3152,0.270472967290963
"dplyr","SYM→INT",1693,0.14527624797703
"dplyr","BCODE→BUILTIN",892,0.0765424767841176
"dplyr","VEC→NA",783,0.0671891920649822
"dplyr","SYM→REAL",476,0.0408455369386098
"dplyr","SYM→LIST",368,0.0315780621710261
"dplyr","LANG→NIL",340,0.0291753835275785
"dplyr","BCODE→BCODE",291,0.0249706959015451
"dplyr","LANG→LIST",178,0.0152741713762028
"dplyr","VEC→VEC",156,0.0133863524420654
"dplyr","BCODE→LIST",93,0.00798032549430823
"dplyr","BCODE→SPECIAL",73,0.0062641264632742
"dplyr","PROM→ENV",71,0.0060925065601708
"dplyr","REAL→NA",68,0.00583507670551569
"dplyr","BCODE→S4",49,0.00420468762603337
"dplyr","PROM→INT",46,0.00394725777137826
"dplyr","PROM→STR",44,0.00377563786827486
"dplyr","PROM→LGL",35,0.00300334830430955
"dplyr","PROM→CLOS",21,0.00180200898258573
"dplyr","BCODE→EXPR",15,0.00128714927327552
"dplyr","LANG→S4",15,0.00128714927327552
"dplyr","PROM→REAL",11,0.000943909467068715
"dplyr","LANG→BUILTIN",5,0.000429049757758507
"dplyr","PROM→LANG",4,0.000343239806206805
"dplyr","PROM→NIL",4,0.000343239806206805
"dplyr","SYM→SPECIAL",3,0.000257429854655104
"dplyr","ENV→NA",2,0.000171619903103403
"dplyr","PROM→SYM",2,0.000171619903103403
"dplyr","CLOS→NA",1,8.58099515517014e-05
"dplyr","SYM→BUILTIN",1,8.58099515517014e-05
"ggplot2","BCODE→STR",46704,17.56053541886
"ggplot2","LGL→LGL",26149,9.83192961347571
"ggplot2","BCODE→ENV",25386,9.54504436757407
"ggplot2","STR→STR",18349,6.89915776808543
"ggplot2","BCODE→VEC",14260,5.36170852759814
"ggplot2","BCODE→LANG",12804,4.81425778312528
"ggplot2","SYM→NA",12521,4.70785080463228
"ggplot2","BCODE→NA",12248,4.60520379004362
"ggplot2","STR→NA",10455,3.93104226199428
"ggplot2","LANG→ENV",8988,3.37945555722665
"ggplot2","LANG→NA",8866,3.33358399759362
"ggplot2","SYM→STR",6235,2.34433749436005
"ggplot2","LGL→NA",5637,2.11949165288013
"ggplot2","SYM→ENV",5554,2.08828395247406
"ggplot2","BCODE→SYM",4925,1.85178222289066
"ggplot2","BCODE→CLOS",4791,1.80139870657242
"ggplot2","NIL→NIL",4095,1.5397052188299
"ggplot2","LANG→STR",3647,1.37125883591518
"ggplot2","BCODE→INT",3362,1.2640998646413
"ggplot2","PROM→NA",3339,1.2554519476613
"ggplot2","BCODE→REAL",2865,1.07722965859528
"ggplot2","BCODE→NIL",2584,0.97157467288314
"ggplot2","INT→INT",2466,0.927207098811851
"ggplot2","REAL→REAL",2362,0.888103474206648
"ggplot2","SYM→CLOS",2185,0.821552113099714
"ggplot2","LANG→SYM",1979,0.744096856670176
"ggplot2","BCODE→LGL",1712,0.643705820424124
"ggplot2","SYM→SYM",1390,0.522634982704166
"ggplot2","LANG→CLOS",1352,0.508347119867649
"ggplot2","SYM→VEC",1330,0.500075199278087
"ggplot2","LANG→VEC",1314,0.494059257031133
"ggplot2","LANG→LANG",1132,0.425627913972026
"ggplot2","BCODE→BUILTIN",867,0.325988870506843
"ggplot2","VEC→NA",745,0.280117310873816
"ggplot2","LANG→NIL",487,0.183110242141675
"ggplot2","LANG→REAL",473,0.17784629267559
"ggplot2","LANG→INT",445,0.16731839374342
"ggplot2","LANG→LGL",353,0.132726725823432
"ggplot2","SYM→LGL",272,0.102271018198225
"ggplot2","BCODE→BCODE",185,0.0695593322304106
"ggplot2","SYM→REAL",174,0.0654233719356294
"ggplot2","SYM→NIL",152,0.0571514513460671
"ggplot2","NIL→NA",130,0.0488795307565047
"ggplot2","PROM→NIL",86,0.0323356895773801
"ggplot2","INT→NA",84,0.0315836967965108
"ggplot2","PROM→VEC",68,0.0255677545495563
"ggplot2","SYM→LANG",64,0.0240637689878177
"ggplot2","SYM→INT",61,0.0229357798165138
"ggplot2","PROM→STR",57,0.0214317942547752
"ggplot2","VEC→VEC",53,0.0199278086930365
"ggplot2","BCODE→S4",48,0.0180478267408633
"ggplot2","BCODE→SPECIAL",47,0.0176718303504286
"ggplot2","BCODE→LIST",28,0.0105278989321703
"ggplot2","ENV→NA",23,0.00864791697999699
"ggplot2","CLOS→CLOS",18,0.00676793502782373
"ggplot2","LANG→S4",15,0.00563994585651978
"ggplot2","REAL→NA",14,0.00526394946608513
"ggplot2","BCODE→EXPR",9,0.00338396751391187
"ggplot2","LANG→DOT",4,0.00150398556173861
"ggplot2","PROM→LANG",4,0.00150398556173861
"ggplot2","SYM→DOT",4,0.00150398556173861
"ggplot2","ENV→ENV",2,0.000751992780869304
"ggplot2","LANG→BUILTIN",1,0.000375996390434652
